id,name,firstname,lastname,age,nationality,height,weight,number,position,photo,birthday,birthplace,country
2659,Omar Ammar,Omar,Ammar,19,,,,,Midfielder,https://media.api-sports.io/football/players/2659.png,,,
2965,M. Kanzari,,Kanzari,,,,,,,https://media.api-sports.io/football/players/2965.png,,,
2966,M. Okbi,,Okbi,,,,,,,https://media.api-sports.io/football/players/2966.png,,,
3020,K. Bukasa,,Bukasa,32,,,,,Defender,https://media.api-sports.io/football/players/3020.png,,,
3030,C. Ngulubi,,Ngulubi,26,,,,,Midfielder,https://media.api-sports.io/football/players/3030.png,,,
3114,D. Assiongbo,,Assiongbo,21,,,,14,Defender,https://media.api-sports.io/football/players/3114.png,,,
3121,J. Landel,,Landel,20,,,,5,Defender,https://media.api-sports.io/football/players/3121.png,,,
3122,Ismael Sylla,Ismael,Sylla,27,Guinea,,,15,Defender,https://media.api-sports.io/football/players/3122.png,1998-01-01,,Guinea
3124,M. Camara,,Camara,22,,,,23,Midfielder,https://media.api-sports.io/football/players/3124.png,,,
3126,M. N'diaye,,N'diaye,21,,,,8,Midfielder,https://media.api-sports.io/football/players/3126.png,,,
3129,M. Thiam,Mohamed,Thiam,29,Guinea,,,4,Midfielder,https://media.api-sports.io/football/players/3129.png,1996-06-22,,Guinea
3142,J. Rafelambolasoa,,,34,,,,,Defender,https://media.api-sports.io/football/players/3142.png,,,
3145,P. Ratahinjanahary,,,,,,,,Defender,https://media.api-sports.io/football/players/3145.png,,,
3150,J. Marobe,,,34,,,,,Midfielder,https://media.api-sports.io/football/players/3150.png,,,
3254,D. Kanjaa,,,,,,,,Defender,https://media.api-sports.io/football/players/3254.png,,,
3255,F. Karongee,,,35,,,,,Defender,https://media.api-sports.io/football/players/3255.png,,,
3269,Itamunua Keimuine,Itamunua,Keimuine,26,,,,,Attacker,https://media.api-sports.io/football/players/3269.png,,,
3271,W. Pinehas,,,,,,,,Attacker,https://media.api-sports.io/football/players/3271.png,,,
3297,Ndulu,,,23,,,,,Goalkeeper,https://media.api-sports.io/football/players/3297.png,,,
3298,Beny Tchssingui,,,,,,,,Goalkeeper,https://media.api-sports.io/football/players/3298.png,,,
3310,Sozito,,,,,,,,Defender,https://media.api-sports.io/football/players/3310.png,,,
3318,Megue,,,,,,,,Midfielder,https://media.api-sports.io/football/players/3318.png,,,
3358,Z. Youba,,,20,,,,13,Defender,https://media.api-sports.io/football/players/3358.png,,,
3359,S. Abdallahi,Moussa Samba,Abdallah,36,Mauritania,,,20,Midfielder,https://media.api-sports.io/football/players/3359.png,1988-12-31,,Mauritania
3361,M. Baghayoko,Moussa Sidi,Bagayoko,41,Mauritania,,,,Midfielder,https://media.api-sports.io/football/players/3361.png,1983-12-31,,Mauritania
3373,K. Traoré,Karamogho Moussa,Traoré,36,Mauritania,190 cm,75 kg,9,Attacker,https://media.api-sports.io/football/players/3373.png,1988-12-31,Nouakchott,Mauritania
3377,S. Glodjinon,Steve,Glodjinon,31,Benin,,,,Goalkeeper,https://media.api-sports.io/football/players/3377.png,1993-12-18,,Benin
3648,D. Buxaj,Daniel,Buxaj,24,Albania,,,,Defender,https://media.api-sports.io/football/players/3648.png,2000-08-09,Gjirokastër,Albania
3658,T. Zoi,Thoma,Zoi,24,Albania,,,,Defender,https://media.api-sports.io/football/players/3658.png,2000-09-05,Gjirokastër,Albania
3662,A. Bella,Aristotel,Bella,25,Albania,,,,Midfielder,https://media.api-sports.io/football/players/3662.png,2000-01-29,Volos,Greece
3668,K. Kondili,Kostandin,Kondili,25,Albania,,,,Midfielder,https://media.api-sports.io/football/players/3668.png,1999-10-04,,Greece
3672,Gerard Salaria,Gerard,Salaria,24,Albania,,,,Midfielder,https://media.api-sports.io/football/players/3672.png,2000-07-22,Gjirokastër,Albania
3674,D. Andoni,Dhimitër,Andoni,26,Albania,,,,Attacker,https://media.api-sports.io/football/players/3674.png,1998-09-12,Athína,Greece
3677,F. Lazaj,Fjorald,Lazaj,25,Albania,,,,Attacker,https://media.api-sports.io/football/players/3677.png,1999-09-08,Gjirokastër,Albania
3679,A. Çekrezi,Amarildo,Çekrezi,31,Albania,,,,Goalkeeper,https://media.api-sports.io/football/players/3679.png,1993-08-11,Elbasan,Albania
3681,M. Ziri,Muhamet,Ziri,23,Albania,,,,Goalkeeper,https://media.api-sports.io/football/players/3681.png,2001-08-02,Tiranë,Albania
3719,A. Balliu,Albi,Balliu,25,Albania,,,,Midfielder,https://media.api-sports.io/football/players/3719.png,1999-11-22,Tiranë,Albania
3726,K. Nazari,Kevin,Nazari,27,Albania,,,,Midfielder,https://media.api-sports.io/football/players/3726.png,1997-12-15,Tiranë,Albania
3794,I. Allmuça,,,,,,,,,https://media.api-sports.io/football/players/3794.png,,,
4062,Semir Gjokaj,Semir,Gjokaj,38,Albania,,,,Midfielder,https://media.api-sports.io/football/players/4062.png,1986-07-11,Shkodër,Albania
4130,Altjon Hoxha,Altjon,Hoxha,31,Albania,,,,Midfielder,https://media.api-sports.io/football/players/4130.png,1993-11-20,Bulqizë,Albania
4389,M. Negab,Mohamed Lamine,Negab,35,Algeria,,,,Goalkeeper,https://media.api-sports.io/football/players/4389.png,1989-09-17,,Algeria
4397,A. Nameur,Abdelhak,Nameur,30,Algeria,,,,Defender,https://media.api-sports.io/football/players/4397.png,1994-07-28,Beni Messous,Algeria
4403,M. Hambli,Mohamed Zakaria,Hambli,26,Algeria,,,,Midfielder,https://media.api-sports.io/football/players/4403.png,1998-07-02,Hydra,Algeria
4415,A. Saidoune,Anouar,Saidoune,27,Algeria,,,,Goalkeeper,https://media.api-sports.io/football/players/4415.png,1998-01-18,,Algeria
4417,K. Ait idir,Karim,Ait Idir,28,Algeria,,,,Defender,https://media.api-sports.io/football/players/4417.png,1997-02-04,Freha,Algeria
4430,M. Kabari,Mohamed Amine,Kabari,32,Algeria,,,,Midfielder,https://media.api-sports.io/football/players/4430.png,1993-05-29,Ain M'lila,Algeria
4445,K. Benmouna,Karim,Benmouna,28,Algeria,,,,Defender,https://media.api-sports.io/football/players/4445.png,1997-01-09,,Algeria
4453,T. Arezki,Tarik,Arezki,28,Algeria,,,,Midfielder,https://media.api-sports.io/football/players/4453.png,1997-03-06,Akbou,Algeria
4521,I. Medafai,Ilias,Medafai,26,Algeria,,,,Midfielder,https://media.api-sports.io/football/players/4521.png,1998-08-05,Maghnia,Algeria
4568,Y. Roudine,Yacine,Roudine,34,Algeria,,,,Defender,https://media.api-sports.io/football/players/4568.png,1991-01-20,Algiers,Algeria
4604,M. Bramki,Mohamed Amine,Bramki,29,Algeria,,,,Midfielder,https://media.api-sports.io/football/players/4604.png,1996-03-06,,Algeria
4620,A. Maïza,Abdelkrim,Maïza,31,Algeria,,,,Goalkeeper,https://media.api-sports.io/football/players/4620.png,1994-06-13,Bordj Bou Arréridj,Algeria
4632,W. Athmani,Walid,Athmani,33,Algeria,,,,Midfielder,https://media.api-sports.io/football/players/4632.png,1992-04-18,,Algeria
4651,B. Adraoui,Mohamed Bachir,Adraoui,29,Algeria,,,,Defender,https://media.api-sports.io/football/players/4651.png,1995-10-29,Aïn M'lila,Algeria
4802,O. Addouane,Oussama,Addouane,27,Algeria,,,,Defender,https://media.api-sports.io/football/players/4802.png,1997-11-08,Biskra,Algeria
4816,A. Hamzaoui,Ammar,Hamzaoui,33,Algeria,,,,Goalkeeper,https://media.api-sports.io/football/players/4816.png,1991-07-03,,Algeria
4817,Chadouli,Chadouli,Chadouli,,Algeria,,,,Defender,https://media.api-sports.io/football/players/4817.png,,,Algeria
4818,T. Sabbih,Tawfiq,Sabbih,33,Algeria,,,,Defender,https://media.api-sports.io/football/players/4818.png,1992-04-16,,Algeria
4819,S. Zaoui,Samir,Zaoui,49,Algeria,190 cm,86 kg,,Defender,https://media.api-sports.io/football/players/4819.png,1976-06-03,Aïn Boucif,Algeria
4820,S. Zazou,Samir,Zazou,45,Algeria,177 cm,75 kg,,Defender,https://media.api-sports.io/football/players/4820.png,1980-03-24,Sidi-bel-Abbès,Algeria
4821,D. Akrour,Djebar,Akrour,42,Algeria,,,,Midfielder,https://media.api-sports.io/football/players/4821.png,1983-01-28,,Algeria
4823,M. Messaoud,Mohamed,Messaoud,43,Algeria,,,,Midfielder,https://media.api-sports.io/football/players/4823.png,1981-11-19,,Algeria
4824,P. Kouakou,Patrick Irénée,N'doua Kouakou,37,Côte d'Ivoire,176 cm,64 kg,,Midfielder,https://media.api-sports.io/football/players/4824.png,1988-03-20,Anyama,Côte d'Ivoire
4825,K. Nait Yahia,Karim,Nait Yahia,44,Algeria,,,,Midfielder,https://media.api-sports.io/football/players/4825.png,1980-12-19,,Algeria
4826,K. Sedkaoui,Kaci,Sedkaoui,38,Algeria,,,,Midfielder,https://media.api-sports.io/football/players/4826.png,1986-07-04,Hassi Bahbah,Algeria
4827,M. Zaouche,Mohamed,Zaouche,42,Algeria,,,,Midfielder,https://media.api-sports.io/football/players/4827.png,1983-01-21,,Algeria
4828,S. Badni,Said,Badni,0,Algeria,,,,Attacker,https://media.api-sports.io/football/players/4828.png,2025-06-25,,Algeria
4830,A. Hadiouche,Abdenour,Hadiouche,40,Algeria,,,,Attacker,https://media.api-sports.io/football/players/4830.png,1984-12-30,Bouira,Algeria
4831,A. Sbaihia,Abdelkadir,Sbaihia,0,Algeria,,,,Attacker,https://media.api-sports.io/football/players/4831.png,2025-06-25,,Algeria
4832,S. Touili,Sidali,Touili,0,Algeria,,,,Attacker,https://media.api-sports.io/football/players/4832.png,2025-06-25,,Algeria
5052,Eloy,Eloy,Casals Rubio,42,Spain,178 cm,76 kg,,Goalkeeper,https://media.api-sports.io/football/players/5052.png,1982-10-22,Lleida,Spain
5062,Juanfer,Juan Fernando,Láin González,42,Spain,178 cm,73 kg,,Midfielder,https://media.api-sports.io/football/players/5062.png,1983-05-05,Barcelona,Spain
5068,Eric Cadi,Eric Marcial,Cadi,27,Andorra,,,,Attacker,https://media.api-sports.io/football/players/5068.png,1998-02-11,,Andorra
5070,Ibán Parra,Ibán,Parra López,47,Spain,187 cm,84 kg,,Attacker,https://media.api-sports.io/football/players/5070.png,1977-10-18,Lleida,Spain
5076,Dídac Giribet,Didac,Giribet Iglesias,30,Andorra,,,,Goalkeeper,https://media.api-sports.io/football/players/5076.png,1994-07-07,,Andorra
5088,Roger Ezquer,Roger,Ezquer Cardona,0,Spain,,,,Midfielder,https://media.api-sports.io/football/players/5088.png,2025-06-25,,Spain
5101,Paulo Pinho,Paulo,Pinho,0,Andorra,,,,U,https://media.api-sports.io/football/players/5101.png,2025-06-25,,Andorra
5108,Mateo Firpo,Mateo,Rodriguez Firpo,32,Spain,180 cm,79 kg,,Defender,https://media.api-sports.io/football/players/5108.png,1993-05-25,,Uruguay
5253,F. Carrillo,Facundo,Carrillo,28,Argentina,,,,Attacker,https://media.api-sports.io/football/players/5253.png,1997-02-26,Monte Grande,Argentina
5271,A. Gallego,Alejandro,Gallego,29,Argentina,,,,Midfielder,https://media.api-sports.io/football/players/5271.png,1996-04-18,,Argentina
5273,I. Kabobel,Iván,Kabobel,27,Argentina,182 cm,75 kg,,Midfielder,https://media.api-sports.io/football/players/5273.png,1997-07-11,,Argentina
5279,L. Carrachino,Lautaro Iván,Carrachino,28,Argentina,178 cm,,,Attacker,https://media.api-sports.io/football/players/5279.png,1997-04-16,Morón,Argentina
5285,F. Urciuoli,,,,,,,,,https://media.api-sports.io/football/players/5285.png,,,
5314,C. Zarco,Cristian Osvaldo,Zarco,29,Argentina,,,,Attacker,https://media.api-sports.io/football/players/5314.png,1996-04-20,,Argentina
5335,E. Izaguirre,Emir Ezequiel,Izaguirre,30,Argentina,,,,Attacker,https://media.api-sports.io/football/players/5335.png,1995-01-26,Viale,Argentina
5344,M. Barbero,Alan Miguel,Barbero,28,Argentina,173 cm,,,Defender,https://media.api-sports.io/football/players/5344.png,1996-10-28,Mendoza,Argentina
5360,S. Oga,Sergio Matías,Oga,43,Argentina,184 cm,,,Midfielder,https://media.api-sports.io/football/players/5360.png,1981-09-15,Córdoba,Argentina
